Geography,product,unit,carbon footprint in kg CO2e,Source of information
USA,"Frosted Flakes, 23 oz, produced in Lancaster, PA (one carton)---Kellogg Company",unit,2.67,"Meinrenken, Christoph J., Daniel Chen, Ricardo A. Esparza, Venkat Iyer, Sally P. Paridis, Aruna Prasad, and Erika Whillas. ""The Carbon Catalogue, carbon footprints of 866 commercial products from 8 industry sectors and 5 continents."" Scientific Data 9, no. 1 (2022): 87."
USA,Office Chair---KNOLL INC,unit,3.51,"Meinrenken, Christoph J., Daniel Chen, Ricardo A. Esparza, Venkat Iyer, Sally P. Paridis, Aruna Prasad, and Erika Whillas. ""The Carbon Catalogue, carbon footprints of 866 commercial products from 8 industry sectors and 5 continents."" Scientific Data 9, no. 1 (2022): 87."
Japan,"Multifunction Printers---Konica Minolta, Inc.",unit,13.53,"Meinrenken, Christoph J., Daniel Chen, Ricardo A. Esparza, Venkat Iyer, Sally P. Paridis, Aruna Prasad, and Erika Whillas. ""The Carbon Catalogue, carbon footprints of 866 commercial products from 8 industry sectors and 5 continents."" Scientific Data 9, no. 1 (2022): 87."
Japan,"Multifunction Printers---Konica Minolta, Inc.",unit,16.53,"Meinrenken, Christoph J., Daniel Chen, Ricardo A. Esparza, Venkat Iyer, Sally P. Paridis, Aruna Prasad, and Erika Whillas. ""The Carbon Catalogue, carbon footprints of 866 commercial products from 8 industry sectors and 5 continents."" Scientific Data 9, no. 1 (2022): 87."
Japan,"Multifunction Printers---Konica Minolta, Inc.",unit,20.67,"Meinrenken, Christoph J., Daniel Chen, Ricardo A. Esparza, Venkat Iyer, Sally P. Paridis, Aruna Prasad, and Erika Whillas. ""The Carbon Catalogue, carbon footprints of 866 commercial products from 8 industry sectors and 5 continents."" Scientific Data 9, no. 1 (2022): 87."
Japan,"KURALON  fiber---Kuraray Co., Ltd.",unit,6.67,"Meinrenken, Christoph J., Daniel Chen, Ricardo A. Esparza, Venkat Iyer, Sally P. Paridis, Aruna Prasad, and Erika Whillas. ""The Carbon Catalogue, carbon footprints of 866 commercial products from 8 industry sectors and 5 continents."" Scientific Data 9, no. 1 (2022): 87."
France,Portland Cement---Lafarge S.A.,unit,1.1,"Meinrenken, Christoph J., Daniel Chen, Ricardo A. Esparza, Venkat Iyer, Sally P. Paridis, Aruna Prasad, and Erika Whillas. ""The Carbon Catalogue, carbon footprints of 866 commercial products from 8 industry sectors and 5 continents."" Scientific Data 9, no. 1 (2022): 87."
USA,Regular Straight 505® Jeans – Steel (Water<Less™)---Levi Strauss & Co.,unit,19.57,"Meinrenken, Christoph J., Daniel Chen, Ricardo A. Esparza, Venkat Iyer, Sally P. Paridis, Aruna Prasad, and Erika Whillas. ""The Carbon Catalogue, carbon footprints of 866 commercial products from 8 industry sectors and 5 continents."" Scientific Data 9, no. 1 (2022): 87."
USA,Regular Straight 505® Jeans – Steel (Water<Less™)---Levi Strauss & Co.,unit,19.57,"Meinrenken, Christoph J., Daniel Chen, Ricardo A. Esparza, Venkat Iyer, Sally P. Paridis, Aruna Prasad, and Erika Whillas. ""The Carbon Catalogue, carbon footprints of 866 commercial products from 8 industry sectors and 5 continents."" Scientific Data 9, no. 1 (2022): 87."
USA,Regular Straight 505® Jeans – Steel (Water<Less™)---Levi Strauss & Co.,unit,19.57,"Meinrenken, Christoph J., Daniel Chen, Ricardo A. Esparza, Venkat Iyer, Sally P. Paridis, Aruna Prasad, and Erika Whillas. ""The Carbon Catalogue, carbon footprints of 866 commercial products from 8 industry sectors and 5 continents."" Scientific Data 9, no. 1 (2022): 87."
USA,501® Original Jeans – Rinse Run---Levi Strauss & Co.,unit,15.05,"Meinrenken, Christoph J., Daniel Chen, Ricardo A. Esparza, Venkat Iyer, Sally P. Paridis, Aruna Prasad, and Erika Whillas. ""The Carbon Catalogue, carbon footprints of 866 commercial products from 8 industry sectors and 5 continents."" Scientific Data 9, no. 1 (2022): 87."
USA,501® Original Jeans – Rinse Run---Levi Strauss & Co.,unit,16.05,"Meinrenken, Christoph J., Daniel Chen, Ricardo A. Esparza, Venkat Iyer, Sally P. Paridis, Aruna Prasad, and Erika Whillas. ""The Carbon Catalogue, carbon footprints of 866 commercial products from 8 industry sectors and 5 continents."" Scientific Data 9, no. 1 (2022): 87."
